用户ID,商品ID,品牌,商品名称,商品类别,商品类目ID,行为类型,时间戳,售价,销量
195,49,HP,HP Galaxy Z Flip,智能手机,1,buy,2025-10-1 16:03,4796,1
434,211,Dell,Dell Watch GT 4,智能手表,5,buy,2025-10-1 16:04,1334,2
670,51,Apple,Apple Xiaomi 14,智能手机,1,buy,2025-10-1 17:08,4998,3
255,99,LG,LG AirPods Pro,耳机,4,addbuy,2025-10-1 17:16,180,0
433,94,HP,HP XPS 15,笔记本电脑,2,buy,2025-10-1 17:44,7190,1
454,282,Xiaomi,Xiaomi C3,电视,7,buy,2025-10-1 17:54,3817,3
96,122,Lenovo,Lenovo C3,电视,7,buy,2025-10-1 18:14,2127,2
219,206,HP,HP Xiaomi Watch 2,智能手表,5,addbuy,2025-10-1 18:35,1489,0
400,136,Dell,Dell iPhone 15,智能手机,1,buy,2025-10-1 18:40,1364,2
749,285,Dell,Dell Gram 17,笔记本电脑,2,buy,2025-10-1 20:13,11400,2
195,152,HP,HP Galaxy Buds2,耳机,4,buy,2025-10-1 20:52,1500,3
63,161,Microsoft,Microsoft Surface Pro,平板电脑,3,addbuy,2025-10-1 22:07,3112,0
515,272,Microsoft,Microsoft Galaxy Z Flip,智能手机,1,addbuy,2025-10-1 23:06,1293,0
191,36,Lenovo,Lenovo iPhone 15,智能手机,1,buy,2025-10-1 23:30,2118,2
123,292,Xiaomi,Xiaomi Sony XM5,耳机,4,buy,2025-10-2 0:38,1102,2
635,42,Microsoft,Microsoft iPhone 15,智能手机,1,buy,2025-10-2 0:40,3112,2
536,162,Microsoft,Microsoft ROG Zephyrus,笔记本电脑,2,buy,2025-10-2 0:46,11004,1
272,203,LG,LG Galaxy Buds2,耳机,4,addbuy,2025-10-2 0:47,488,0
324,38,Sony,Sony Galaxy Z Flip,智能手机,1,buy,2025-10-2 0:58,2215,2
103,38,Microsoft,Microsoft Fitbit Sense,智能手表,5,buy,2025-10-2 1:11,872,2
136,179,Lenovo,Lenovo FreeBuds Pro,耳机,4,buy,2025-10-2 1:19,1060,1
162,225,LG,LG ThinkPad X1,笔记本电脑,2,addbuy,2025-10-2 2:06,5052,0
670,271,Sony,Sony Surface Pro,平板电脑,3,buy,2025-10-2 2:18,6000,5
680,54,Lenovo,Lenovo MatePad Pro,平板电脑,3,buy,2025-10-2 2:26,1705,3
761,284,Samsung,Samsung iPhone 15,智能手机,1,addbuy,2025-10-2 2:47,2035,0
216,176,Sony,Sony Surface Pro,平板电脑,3,buy,2025-10-2 2:51,2712,2
501,129,Sony,Sony GH6,相机,6,buy,2025-10-2 3:34,5486,3
46,2,Dell,Dell QN90C,电视,7,buy,2025-10-2 3:36,1763,1
166,227,Huawei,Huawei MatePad Pro,平板电脑,3,addbuy,2025-10-2 5:31,4426,0
10,58,Dell,Dell ROG Zephyrus,笔记本电脑,2,buy,2025-10-2 6:10,13199,1
37,190,Huawei,Huawei ROG Zephyrus,笔记本电脑,2,buy,2025-10-2 6:16,5385,2
131,22,Huawei,Huawei Galaxy Z Flip,智能手机,1,buy,2025-10-2 6:16,5853,4
216,128,Apple,Apple Galaxy S24,智能手机,1,addbuy,2025-10-2 7:01,3511,0
636,80,Lenovo,Lenovo Xiaomi Pad 6,平板电脑,3,buy,2025-10-2 7:34,2323,2
26,92,Huawei,Huawei Galaxy Z Flip,智能手机,1,buy,2025-10-2 8:08,2822,1
753,128,Dell,Dell Xiaomi 14,智能手机,1,buy,2025-10-2 8:47,7003,1
40,241,Samsung,Samsung Xiaomi Watch 2,智能手表,5,buy,2025-10-2 8:49,1773,2
313,117,HP,HP MatePad Pro,平板电脑,3,buy,2025-10-2 9:01,3224,2
337,143,Xiaomi,Xiaomi Xiaomi Watch 2,智能手表,5,addbuy,2025-10-2 9:04,1525,0
657,261,Sony,Sony MatePad Pro,平板电脑,3,buy,2025-10-2 9:57,2263,2
29,60,Lenovo,Lenovo Z50,相机,6,addbuy,2025-10-2 10:23,8695,0
40,56,Microsoft,Microsoft ThinkPad X1,笔记本电脑,2,buy,2025-10-2 10:34,8170,4
322,224,LG,LG Gram 17,笔记本电脑,2,addbuy,2025-10-2 10:35,13796,0
591,98,Samsung,Samsung Galaxy Z Flip,智能手机,1,buy,2025-10-2 10:45,6027,1
533,276,Dell,Dell MacBook Pro,笔记本电脑,2,buy,2025-10-2 10:56,7995,2
442,36,Xiaomi,Xiaomi FreeBuds Pro,耳机,4,buy,2025-10-2 11:30,1500,1
738,154,LG,LG iPad Pro,平板电脑,3,buy,2025-10-2 11:57,4323,1
413,152,Dell,Dell ThinkPad X1,笔记本电脑,2,buy,2025-10-2 12:55,12266,2
681,195,Xiaomi,Xiaomi A80L,电视,7,buy,2025-10-2 13:12,5906,3
416,281,Microsoft,Microsoft Z50,相机,6,addbuy,2025-10-2 13:15,4966,0
216,221,Sony,Sony Galaxy S24,智能手机,1,buy,2025-10-2 13:48,7629,3
453,227,LG,LG Surface Laptop,笔记本电脑,2,buy,2025-10-2 14:26,13612,4
754,87,Lenovo,Lenovo Sony XM5,耳机,4,buy,2025-10-2 14:48,1342,2
680,172,Sony,Sony U8K,电视,7,addbuy,2025-10-2 15:27,6740,0
231,102,Xiaomi,Xiaomi MatePad Pro,平板电脑,3,buy,2025-10-2 15:45,2449,1
487,38,Apple,Apple Galaxy Buds2,耳机,4,buy,2025-10-2 16:05,163,4
736,197,Microsoft,Microsoft Galaxy Watch 6,智能手表,5,buy,2025-10-2 16:20,2677,2
672,3,Xiaomi,Xiaomi Galaxy Tab S9,平板电脑,3,buy,2025-10-2 16:20,5553,3
181,266,Dell,Dell XPS 15,笔记本电脑,2,buy,2025-10-2 16:23,5944,1
125,234,Lenovo,Lenovo iPhone 16,智能手机,1,buy,2025-10-2 16:24,4630,1
610,163,Lenovo,Lenovo P60 Pro,智能手机,1,buy,2025-10-2 16:51,2129,2
517,219,Microsoft,Microsoft QLED TV,电视,7,buy,2025-10-2 17:01,7713,2
461,133,Huawei,Huawei Sony XM5,耳机,4,addbuy,2025-10-2 17:20,1200,0
497,123,Sony,Sony Nothing Ear,耳机,4,buy,2025-10-2 18:23,682,2
241,140,Samsung,Samsung MatePad Pro,平板电脑,3,buy,2025-10-2 18:30,3774,2
142,78,Lenovo,Lenovo C3,电视,7,addbuy,2025-10-2 18:44,4214,0
220,33,Huawei,Huawei Xiaomi 14,智能手机,1,buy,2025-10-2 19:22,2890,4
478,213,LG,LG Nothing Ear,耳机,4,buy,2025-10-2 19:29,907,1
789,300,Dell,Dell Xiaomi Watch 2,智能手表,5,buy,2025-10-2 19:31,960,1
489,4,Microsoft,Microsoft Surface Laptop,笔记本电脑,2,buy,2025-10-2 19:40,4511,2
552,280,Dell,Dell Surface Laptop,笔记本电脑,2,buy,2025-10-2 19:44,9715,3
447,249,Xiaomi,Xiaomi MatePad Pro,平板电脑,3,buy,2025-10-2 20:55,3355,2
742,85,LG,LG Sony XM5,耳机,4,buy,2025-10-2 21:39,108,2
28,202,Microsoft,Microsoft Nothing Ear,耳机,4,buy,2025-10-2 22:05,872,3
659,220,Apple,Apple A7 IV,相机,6,buy,2025-10-2 22:59,11785,3
267,195,Huawei,Huawei iPhone 15,智能手机,1,addbuy,2025-10-2 23:43,2147,0
346,195,HP,HP Galaxy S24,智能手机,1,buy,2025-10-2 23:48,3589,2
84,241,Dell,Dell FreeBuds Pro,耳机,4,buy,2025-10-3 0:47,804,1
359,115,Lenovo,Lenovo iPhone 15,智能手机,1,buy,2025-10-3 1:08,1341,2
254,103,Apple,Apple iPhone 15,智能手机,1,buy,2025-10-3 1:51,6160,4
245,65,Microsoft,Microsoft iPhone 16,智能手机,1,buy,2025-10-3 2:51,7684,2
224,239,Samsung,Samsung Nothing Ear,耳机,4,buy,2025-10-3 3:02,1161,3
621,59,LG,LG Galaxy Buds2,耳机,4,buy,2025-10-3 3:05,1413,1
593,14,Sony,Sony Apple Watch S9,智能手表,5,buy,2025-10-3 3:11,3868,2
733,102,Dell,Dell Sony XM5,耳机,4,buy,2025-10-3 3:26,782,2
714,155,Xiaomi,Xiaomi MacBook Pro,笔记本电脑,2,buy,2025-10-3 4:11,5348,4
43,178,Samsung,Samsung Nothing Ear,耳机,4,buy,2025-10-3 5:04,1500,2
519,175,LG,LG Apple Watch S9,智能手表,5,buy,2025-10-3 5:04,3001,1
444,186,HP,HP iPad Pro,平板电脑,3,buy,2025-10-3 5:23,1618,3
181,268,Huawei,Huawei Sony XM5,耳机,4,buy,2025-10-3 5:37,1386,1
794,248,Microsoft,Microsoft P60 Pro,智能手机,1,buy,2025-10-3 5:44,6266,2
331,126,Microsoft,Microsoft FreeBuds Pro,耳机,4,buy,2025-10-3 5:47,1025,1
769,238,HP,HP Galaxy Tab S9,平板电脑,3,buy,2025-10-3 5:58,2151,4
30,254,Dell,Dell Watch GT 4,智能手表,5,buy,2025-10-3 7:14,3246,2
364,133,HP,HP Galaxy Buds2,耳机,4,buy,2025-10-3 7:24,608,3
570,6,Microsoft,Microsoft FreeBuds Pro,耳机,4,buy,2025-10-3 7:44,690,2
738,209,Samsung,Samsung Galaxy Tab S9,平板电脑,3,buy,2025-10-3 8:16,5629,2
662,252,Xiaomi,Xiaomi Sony XM5,耳机,4,buy,2025-10-3 8:28,1134,1
227,208,Samsung,Samsung Galaxy S24,智能手机,1,buy,2025-10-3 10:02,4479,3
596,189,Sony,Sony Xiaomi 14,智能手机,1,buy,2025-10-3 11:29,6591,4
436,282,Lenovo,Lenovo Galaxy S24,智能手机,1,buy,2025-10-3 11:37,4959,1
314,129,HP,HP Galaxy S24,智能手机,1,buy,2025-10-3 11:55,3689,3
123,275,Xiaomi,Xiaomi Z50,相机,6,buy,2025-10-3 12:05,5638,1
222,248,Huawei,Huawei Galaxy Watch 6,智能手表,5,buy,2025-10-3 12:13,4000,2
612,145,Microsoft,Microsoft U8K,电视,7,buy,2025-10-3 12:14,3935,1
370,92,Sony,Sony X90L,电视,7,buy,2025-10-3 12:39,2222,5
281,24,Lenovo,Lenovo R8,相机,6,buy,2025-10-3 12:58,6759,2
654,252,Sony,Sony Galaxy Buds2,耳机,4,addbuy,2025-10-3 12:59,244,0
481,246,Microsoft,Microsoft QN90C,电视,7,buy,2025-10-3 13:08,2146,1
259,245,Huawei,Huawei MacBook Pro,笔记本电脑,2,buy,2025-10-3 14:11,11190,3
76,296,Dell,Dell Xiaomi Pad 6,平板电脑,3,buy,2025-10-3 14:19,2267,3
153,289,Apple,Apple Galaxy Buds2,耳机,4,buy,2025-10-3 14:23,1490,3
572,214,Xiaomi,Xiaomi MacBook Pro,笔记本电脑,2,buy,2025-10-3 14:40,8821,3
795,268,Microsoft,Microsoft XPS 15,笔记本电脑,2,buy,2025-10-3 16:33,14038,2
603,220,HP,HP FreeBuds Pro,耳机,4,addbuy,2025-10-3 16:40,859,0
625,51,Microsoft,Microsoft A7 IV,相机,6,buy,2025-10-3 17:10,7094,2
677,42,Xiaomi,Xiaomi FreeBuds Pro,耳机,4,buy,2025-10-3 17:48,595,1
77,81,Huawei,Huawei Surface Pro,平板电脑,3,buy,2025-10-3 17:55,2708,2
482,150,HP,HP Nothing Ear,耳机,4,buy,2025-10-3 18:29,64,1
290,233,Sony,Sony QLED TV,电视,7,buy,2025-10-3 18:42,1685,2
641,102,Xiaomi,Xiaomi Z50,相机,6,buy,2025-10-3 19:08,3317,2
664,77,Lenovo,Lenovo iPhone 16,智能手机,1,buy,2025-10-3 19:35,4340,2
170,158,Samsung,Samsung iPhone 15,智能手机,1,buy,2025-10-3 19:55,3048,1
450,64,Microsoft,Microsoft FreeBuds Pro,耳机,4,buy,2025-10-3 19:58,1451,1
413,140,Sony,Sony Xiaomi 14,智能手机,1,buy,2025-10-3 20:45,4991,2
83,21,HP,HP Surface Laptop,笔记本电脑,2,buy,2025-10-3 20:56,12275,1
257,14,LG,LG P60 Pro,智能手机,1,buy,2025-10-3 21:01,4715,3
22,138,Microsoft,Microsoft Nothing Ear,耳机,4,buy,2025-10-3 21:02,154,2
532,227,Huawei,Huawei Galaxy Z Flip,智能手机,1,buy,2025-10-3 21:26,5540,4
651,252,Microsoft,Microsoft Galaxy Z Flip,智能手机,1,buy,2025-10-3 21:56,3170,3
342,165,LG,LG Xiaomi Watch 2,智能手表,5,buy,2025-10-3 21:56,1213,1
422,254,Huawei,Huawei Watch GT 4,智能手表,5,addbuy,2025-10-3 22:15,3397,0
38,233,Dell,Dell ROG Zephyrus,笔记本电脑,2,buy,2025-10-3 22:22,8861,2
119,207,Sony,Sony Galaxy S24,智能手机,1,buy,2025-10-3 22:50,1682,1
424,28,Lenovo,Lenovo Xiaomi Watch 2,智能手表,5,buy,2025-10-3 22:55,2707,1
775,256,LG,LG Surface Pro,平板电脑,3,addbuy,2025-10-3 23:26,3101,0
274,282,Apple,Apple iPhone 16,智能手机,1,buy,2025-10-3 23:39,6149,4
125,15,HP,HP Sony XM5,耳机,4,buy,2025-10-4 0:52,265,1
319,283,Xiaomi,Xiaomi Galaxy Buds2,耳机,4,buy,2025-10-4 0:56,1451,2
231,59,Dell,Dell iPad Pro,平板电脑,3,buy,2025-10-4 1:07,1694,2
734,150,Huawei,Huawei Surface Laptop,笔记本电脑,2,buy,2025-10-4 1:10,11420,2
495,242,Sony,Sony A80L,电视,7,buy,2025-10-4 2:19,5829,2
393,98,Lenovo,Lenovo Galaxy Buds2,耳机,4,addbuy,2025-10-4 3:14,582,0
283,213,Huawei,Huawei iPhone 15,智能手机,1,addbuy,2025-10-4 3:22,5970,0
290,153,Sony,Sony iPad Pro,平板电脑,3,addbuy,2025-10-4 3:51,4343,0
458,276,HP,HP Galaxy Buds2,耳机,4,buy,2025-10-4 4:36,1348,1
782,279,LG,LG ROG Zephyrus,笔记本电脑,2,buy,2025-10-4 4:57,11911,1
715,123,LG,LG iPhone 16,智能手机,1,buy,2025-10-4 5:17,4123,2
45,163,Xiaomi,Xiaomi Galaxy Z Flip,智能手机,1,buy,2025-10-4 5:24,5680,1
680,78,Dell,Dell Galaxy Z Flip,智能手机,1,buy,2025-10-4 5:27,7142,3
605,170,Huawei,Huawei Nothing Ear,耳机,4,buy,2025-10-4 6:27,882,3
468,8,Samsung,Samsung ROG Zephyrus,笔记本电脑,2,buy,2025-10-4 7:28,5669,3
481,136,Huawei,Huawei A7 IV,相机,6,addbuy,2025-10-4 7:55,4370,0
83,169,Dell,Dell Xiaomi 14,智能手机,1,buy,2025-10-4 8:06,3892,5
642,250,Dell,Dell Watch GT 4,智能手表,5,buy,2025-10-4 8:17,3635,3
241,148,Microsoft,Microsoft AirPods Pro,耳机,4,buy,2025-10-4 8:52,976,2
101,52,Samsung,Samsung Xiaomi Watch 2,智能手表,5,addbuy,2025-10-4 9:52,1913,0
48,167,Sony,Sony C3,电视,7,buy,2025-10-4 10:50,5019,3
384,221,Sony,Sony Galaxy S24,智能手机,1,buy,2025-10-4 11:30,7350,4
580,93,Lenovo,Lenovo Xiaomi Watch 2,智能手表,5,buy,2025-10-4 11:57,1321,2
392,124,Samsung,Samsung P60 Pro,智能手机,1,buy,2025-10-4 11:59,2281,1
473,131,Huawei,Huawei Galaxy Buds2,耳机,4,buy,2025-10-4 12:04,1167,2
295,280,Apple,Apple Galaxy Z Flip,智能手机,1,addbuy,2025-10-4 13:05,4694,0
602,154,HP,HP ThinkPad X1,笔记本电脑,2,buy,2025-10-4 13:29,6425,2
310,102,Sony,Sony Surface Laptop,笔记本电脑,2,buy,2025-10-4 13:30,14485,5
391,293,Samsung,Samsung X90L,电视,7,addbuy,2025-10-4 13:32,4698,0
303,12,Sony,Sony Xiaomi 14,智能手机,1,buy,2025-10-4 14:01,4034,1
580,26,Sony,Sony MacBook Pro,笔记本电脑,2,buy,2025-10-4 14:01,14786,2
795,118,HP,HP ThinkPad X1,笔记本电脑,2,addbuy,2025-10-4 14:06,14116,0
636,129,Xiaomi,Xiaomi Galaxy Buds2,耳机,4,buy,2025-10-4 14:27,1273,1
100,21,Huawei,Huawei QLED TV,电视,7,buy,2025-10-4 14:58,7238,1
374,68,Apple,Apple P60 Pro,智能手机,1,buy,2025-10-4 15:26,3555,1
180,103,LG,LG Sony XM5,耳机,4,addbuy,2025-10-4 15:33,185,0
514,140,LG,LG Surface Pro,平板电脑,3,buy,2025-10-4 16:06,2658,3
303,174,Sony,Sony Galaxy Z Flip,智能手机,1,buy,2025-10-4 16:13,7687,2
773,116,Samsung,Samsung XPS 15,笔记本电脑,2,buy,2025-10-4 16:24,5925,4
375,47,Dell,Dell Fitbit Sense,智能手表,5,buy,2025-10-4 17:00,3740,3
127,233,Sony,Sony Nothing Ear,耳机,4,buy,2025-10-4 17:28,665,1
391,191,Sony,Sony P60 Pro,智能手机,1,buy,2025-10-4 18:18,4163,2
26,288,Xiaomi,Xiaomi Galaxy Z Flip,智能手机,1,buy,2025-10-4 18:46,2032,2
65,238,Xiaomi,Xiaomi Xiaomi 14,智能手机,1,addbuy,2025-10-4 19:09,3799,0
144,24,Dell,Dell A7 IV,相机,6,addbuy,2025-10-4 19:11,7083,0
100,121,HP,HP iPad Pro,平板电脑,3,buy,2025-10-4 19:23,1759,1
380,277,Dell,Dell Galaxy Z Flip,智能手机,1,buy,2025-10-4 19:32,5272,2
671,51,Huawei,Huawei Sony XM5,耳机,4,buy,2025-10-4 19:39,1008,3
34,190,Dell,Dell Watch GT 4,智能手表,5,buy,2025-10-4 21:15,2919,3
372,51,HP,HP iPhone 16,智能手机,1,buy,2025-10-4 21:28,2806,3
408,142,LG,LG A7 IV,相机,6,buy,2025-10-4 22:27,8096,2
679,109,HP,HP iPhone 15,智能手机,1,buy,2025-10-4 22:53,2416,3
129,290,LG,LG Galaxy Tab S9,平板电脑,3,buy,2025-10-4 23:35,1500,4
601,111,Lenovo,Lenovo Galaxy Buds2,耳机,4,buy,2025-10-4 23:54,305,1
3,142,Huawei,Huawei Surface Pro,平板电脑,3,buy,2025-10-5 0:17,3376,3
179,57,Lenovo,Lenovo FreeBuds Pro,耳机,4,buy,2025-10-5 0:35,212,2
367,122,Huawei,Huawei MacBook Pro,笔记本电脑,2,buy,2025-10-5 0:40,14643,2
272,27,Apple,Apple Galaxy Watch 6,智能手表,5,buy,2025-10-5 1:14,3176,1
117,33,Dell,Dell Surface Pro,平板电脑,3,addbuy,2025-10-5 1:23,2717,0
608,56,LG,LG Fitbit Sense,智能手表,5,buy,2025-10-5 1:24,2779,2
45,267,Xiaomi,Xiaomi U8K,电视,7,buy,2025-10-5 1:51,5259,1
491,206,Apple,Apple AirPods Pro,耳机,4,buy,2025-10-5 1:56,701,2
730,228,Samsung,Samsung Sony XM5,耳机,4,buy,2025-10-5 3:11,1074,4
152,34,LG,LG GH6,相机,6,buy,2025-10-5 4:33,3045,2
600,281,Microsoft,Microsoft QLED TV,电视,7,buy,2025-10-5 5:38,2473,3
544,151,Dell,Dell P60 Pro,智能手机,1,buy,2025-10-5 5:50,6799,2
102,59,Microsoft,Microsoft Galaxy Z Flip,智能手机,1,addbuy,2025-10-5 5:50,4774,0
221,221,Lenovo,Lenovo QLED TV,电视,7,buy,2025-10-5 7:00,6996,2
465,205,Dell,Dell FreeBuds Pro,耳机,4,buy,2025-10-5 7:15,890,1
438,161,Samsung,Samsung Galaxy S24,智能手机,1,buy,2025-10-5 8:45,4580,2
704,243,LG,LG Galaxy Buds2,耳机,4,buy,2025-10-5 10:13,1342,2
443,50,Samsung,Samsung A7 IV,相机,6,buy,2025-10-5 11:04,2945,3
601,288,Lenovo,Lenovo iPad Pro,平板电脑,3,addbuy,2025-10-5 11:13,4418,0
363,217,Samsung,Samsung A80L,电视,7,buy,2025-10-5 11:26,6069,4
361,54,Microsoft,Microsoft Z50,相机,6,addbuy,2025-10-5 12:16,2789,0
673,247,Xiaomi,Xiaomi XPS 15,笔记本电脑,2,addbuy,2025-10-5 12:27,13527,0
377,59,LG,LG P60 Pro,智能手机,1,buy,2025-10-5 12:31,2692,3
440,288,Microsoft,Microsoft iPhone 16,智能手机,1,addbuy,2025-10-5 12:53,7189,0
659,286,Microsoft,Microsoft Xiaomi 14,智能手机,1,buy,2025-10-5 14:06,7404,1
185,140,Sony,Sony AirPods Pro,耳机,4,addbuy,2025-10-5 14:37,214,0
360,4,Sony,Sony FreeBuds Pro,耳机,4,buy,2025-10-5 15:00,1500,1
72,73,Microsoft,Microsoft Sony XM5,耳机,4,buy,2025-10-5 15:03,294,2
221,193,Samsung,Samsung Nothing Ear,耳机,4,buy,2025-10-5 15:28,1161,3
379,160,LG,LG Galaxy Buds2,耳机,4,buy,2025-10-5 17:30,941,3
87,27,Microsoft,Microsoft U8K,电视,7,buy,2025-10-5 17:34,7377,1
691,42,Microsoft,Microsoft AirPods Pro,耳机,4,buy,2025-10-5 17:53,248,5
622,227,Dell,Dell Xiaomi Watch 2,智能手表,5,buy,2025-10-5 18:49,1940,2
117,177,Xiaomi,Xiaomi P60 Pro,智能手机,1,buy,2025-10-5 19:25,4331,3
695,250,Sony,Sony Xiaomi 14,智能手机,1,buy,2025-10-5 19:56,4377,2
226,203,Sony,Sony Apple Watch S9,智能手表,5,buy,2025-10-5 20:28,3099,2
309,109,Apple,Apple Galaxy Watch 6,智能手表,5,buy,2025-10-5 20:40,3082,2
336,62,Sony,Sony Watch GT 4,智能手表,5,addbuy,2025-10-5 20:49,3813,0
133,195,Dell,Dell iPhone 16,智能手机,1,addbuy,2025-10-5 21:33,1117,0
573,182,Xiaomi,Xiaomi Nothing Ear,耳机,4,buy,2025-10-5 22:17,1300,2
20,236,Apple,Apple Xiaomi Watch 2,智能手表,5,buy,2025-10-5 23:11,1098,1
588,208,Microsoft,Microsoft Sony XM5,耳机,4,buy,2025-10-6 0:16,169,4
415,11,Sony,Sony MacBook Pro,笔记本电脑,2,buy,2025-10-6 0:35,14501,2
707,186,Microsoft,Microsoft Xiaomi Pad 6,平板电脑,3,buy,2025-10-6 0:53,4047,3
447,206,Samsung,Samsung Galaxy Tab S9,平板电脑,3,buy,2025-10-6 1:36,2244,1
764,174,Dell,Dell Watch GT 4,智能手表,5,buy,2025-10-6 2:03,2786,2
523,59,Huawei,Huawei iPhone 15,智能手机,1,addbuy,2025-10-6 2:35,2785,0
360,76,Xiaomi,Xiaomi ThinkPad X1,笔记本电脑,2,buy,2025-10-6 3:17,12754,2
203,89,Huawei,Huawei Galaxy S24,智能手机,1,buy,2025-10-6 4:16,2787,2
792,253,Samsung,Samsung XPS 15,笔记本电脑,2,buy,2025-10-6 4:27,13747,3
460,290,Microsoft,Microsoft P60 Pro,智能手机,1,buy,2025-10-6 4:39,4986,2
643,162,Microsoft,Microsoft Watch GT 4,智能手表,5,buy,2025-10-6 4:42,3558,3
453,156,Samsung,Samsung Sony XM5,耳机,4,buy,2025-10-6 5:05,384,2
520,38,Apple,Apple Z50,相机,6,buy,2025-10-6 5:06,6602,3
59,189,HP,HP MacBook Pro,笔记本电脑,2,addbuy,2025-10-6 5:22,9121,0
93,260,Samsung,Samsung Xiaomi 14,智能手机,1,buy,2025-10-6 5:43,7759,2
757,22,Microsoft,Microsoft P60 Pro,智能手机,1,addbuy,2025-10-6 5:52,4185,0
620,244,Xiaomi,Xiaomi QN90C,电视,7,buy,2025-10-6 6:16,5276,3
106,176,Apple,Apple Xiaomi Watch 2,智能手表,5,buy,2025-10-6 6:17,2730,2
254,225,Huawei,Huawei AirPods Pro,耳机,4,buy,2025-10-6 6:18,280,1
163,187,Lenovo,Lenovo P60 Pro,智能手机,1,addbuy,2025-10-6 7:03,4667,0
794,174,Dell,Dell X-T5,相机,6,buy,2025-10-6 7:15,8052,2
663,172,Apple,Apple Xiaomi 14,智能手机,1,buy,2025-10-6 7:19,6667,2
695,198,Samsung,Samsung Nothing Ear,耳机,4,buy,2025-10-6 7:38,152,1
342,42,Microsoft,Microsoft iPhone 16,智能手机,1,buy,2025-10-6 8:17,3256,4
