application_id,job_id,candidate_id,application_date,skill_match_score,salary_match_score,education_match_score,experience_match_score,total_match_score,is_matched,status
APP368428,JOB465164,CAND821003,2026-02-19,0.0,0.7,1.0,1.0,0.54,0,面试中
APP731205,JOB166632,CAND558517,2026-02-12,0.0,0.1,0.2,0.4,0.14,0,已录用
APP227220,JOB381886,CAND555731,2026-02-09,0.0,0.4,0.6,1.0,0.4,0,已查看
APP120701,JOB104936,CAND305112,2026-02-08,0.0,1.0,1.0,0.4,0.48,0,待处理
APP852427,JOB421499,CAND439202,2026-02-06,0.0,0.1,1.0,0.1,0.24,0,面试中
APP462116,JOB469885,CAND393463,2026-02-05,1.0,0.4,1.0,0.4,0.76,1,已录用
APP936060,JOB386208,CAND609964,2026-02-25,0.0,0.7,0.6,1.0,0.46,0,待处理
APP882641,JOB517373,CAND798158,2026-02-19,0.0,0.1,1.0,0.1,0.24,0,待处理
APP337819,JOB938429,CAND361303,2026-02-19,0.0,0.7,1.0,0.1,0.36,0,已查看
APP596500,JOB921200,CAND309200,2026-02-08,0.0,0.1,0.2,0.4,0.14,0,已录用
APP609781,JOB807808,CAND408964,2026-02-23,0.5,0.4,0.2,0.7,0.46,0,待处理
APP895896,JOB859271,CAND917895,2026-02-19,0.0,0.7,0.6,1.0,0.46,0,待处理
APP954057,JOB774221,CAND233381,2026-02-23,0.0,0.7,1.0,1.0,0.54,0,已拒绝
APP115764,JOB507446,CAND829420,2026-03-05,0.0,0.1,0.2,1.0,0.26,0,已录用
APP697886,JOB453669,CAND966621,2026-02-25,0.0,0.1,1.0,1.0,0.42,0,面试中
APP506140,JOB808331,CAND792711,2026-02-08,0.0,0.1,0.2,1.0,0.26,0,已录用
APP633414,JOB296601,CAND336398,2026-02-09,0.0,1.0,1.0,1.0,0.6,1,面试中
APP905181,JOB527260,CAND580783,2026-03-03,0.167,0.4,1.0,1.0,0.547,0,待处理
APP483538,JOB525151,CAND730926,2026-02-13,0.0,1.0,0.6,1.0,0.52,0,已录用
APP905734,JOB271552,CAND275905,2026-02-06,0.0,0.1,0.2,0.1,0.08,0,已录用
APP263982,JOB687270,CAND929089,2026-03-03,0.0,1.0,1.0,1.0,0.6,1,待处理
APP717510,JOB985146,CAND186688,2026-03-06,0.0,1.0,0.6,0.7,0.46,0,已录用
APP490370,JOB657772,CAND305112,2026-02-07,0.0,0.7,1.0,0.7,0.48,0,已拒绝
APP661616,JOB482672,CAND966621,2026-02-09,0.0,0.7,1.0,0.7,0.48,0,待处理
APP951660,JOB574345,CAND455134,2026-02-08,0.0,0.1,1.0,1.0,0.42,0,已拒绝
APP625938,JOB944809,CAND199751,2026-02-22,0.0,0.1,0.6,0.1,0.16,0,面试中
APP141627,JOB867261,CAND918611,2026-02-28,0.0,1.0,1.0,1.0,0.6,1,待处理
APP468816,JOB765046,CAND688819,2026-02-18,0.0,0.4,0.2,1.0,0.32,0,已拒绝
APP408811,JOB835747,CAND306653,2026-02-12,0.0,0.1,0.2,0.1,0.08,0,已拒绝
APP189037,JOB154324,CAND607725,2026-02-28,0.0,0.1,0.2,0.4,0.14,0,待处理
APP801426,JOB128008,CAND448371,2026-03-05,0.0,0.1,1.0,1.0,0.42,0,已录用
APP243165,JOB837161,CAND455326,2026-02-13,0.0,1.0,1.0,0.7,0.54,0,已查看
APP255673,JOB311110,CAND717202,2026-03-02,0.0,0.4,0.6,0.4,0.28,0,待处理
APP173437,JOB826119,CAND509826,2026-02-14,0.0,0.7,1.0,1.0,0.54,0,已查看
APP545228,JOB635320,CAND339178,2026-02-07,0.5,0.7,1.0,1.0,0.74,1,待处理
APP235616,JOB692837,CAND142221,2026-02-28,1.0,0.1,0.2,0.7,0.6,1,已录用
APP829354,JOB578259,CAND216131,2026-02-08,0.0,0.1,1.0,0.4,0.3,0,面试中
APP784372,JOB375625,CAND844980,2026-02-13,0.0,0.1,1.0,0.1,0.24,0,已拒绝
APP226469,JOB898023,CAND481149,2026-02-20,0.0,0.1,1.0,1.0,0.42,0,已拒绝
APP470325,JOB360320,CAND583846,2026-02-05,0.0,0.1,1.0,1.0,0.42,0,已查看
APP110253,JOB751665,CAND455134,2026-03-02,0.2,0.1,1.0,1.0,0.5,0,已录用
APP418526,JOB741114,CAND269887,2026-02-20,0.0,0.4,1.0,0.1,0.3,0,已录用
APP109906,JOB983241,CAND126541,2026-03-06,0.0,0.1,1.0,1.0,0.42,0,面试中
APP896260,JOB289257,CAND646299,2026-02-07,0.0,0.7,0.2,1.0,0.38,0,面试中
APP955191,JOB715094,CAND853445,2026-03-02,0.0,0.4,0.2,1.0,0.32,0,待处理
APP276364,JOB464301,CAND987812,2026-02-15,0.2,1.0,1.0,1.0,0.68,1,面试中
APP881109,JOB716166,CAND112979,2026-02-05,0.0,0.4,1.0,0.1,0.3,0,待处理
APP372966,JOB886002,CAND662108,2026-02-20,0.0,0.4,1.0,1.0,0.48,0,已查看
APP285846,JOB761753,CAND258784,2026-02-15,0.0,0.7,1.0,0.7,0.48,0,待处理
APP836639,JOB732292,CAND239512,2026-03-02,0.0,0.1,0.2,0.1,0.08,0,待处理
APP126166,JOB741350,CAND564172,2026-02-26,0.0,0.4,1.0,1.0,0.48,0,已拒绝
APP933860,JOB257817,CAND421307,2026-02-05,0.667,0.4,0.2,1.0,0.587,0,已录用
APP865944,JOB483615,CAND996119,2026-03-06,0.0,0.1,1.0,0.7,0.36,0,面试中
APP262148,JOB675017,CAND559451,2026-02-08,0.4,0.1,0.2,1.0,0.42,0,已录用
APP153261,JOB877868,CAND686422,2026-02-18,0.0,0.1,1.0,1.0,0.42,0,待处理
APP509100,JOB540012,CAND656714,2026-02-14,0.333,0.7,1.0,1.0,0.673,1,待处理
APP142357,JOB258511,CAND346719,2026-02-09,0.0,0.1,1.0,0.1,0.24,0,待处理
APP867686,JOB804912,CAND710331,2026-02-10,0.0,0.1,1.0,0.1,0.24,0,面试中
APP284068,JOB441623,CAND605186,2026-02-25,0.0,0.1,1.0,0.1,0.24,0,面试中
APP481915,JOB985764,CAND216060,2026-02-05,0.2,0.7,0.2,1.0,0.46,0,面试中
APP935147,JOB924955,CAND832841,2026-03-01,0.0,0.4,1.0,1.0,0.48,0,已录用
APP468997,JOB980155,CAND372551,2026-02-21,0.0,0.7,0.2,1.0,0.38,0,已查看
APP139476,JOB110971,CAND565657,2026-03-04,0.2,0.7,1.0,1.0,0.62,1,已录用
APP980191,JOB500554,CAND571542,2026-02-04,0.0,0.4,1.0,1.0,0.48,0,已查看
APP643843,JOB830158,CAND332342,2026-02-05,0.0,0.1,0.2,0.1,0.08,0,面试中
APP457404,JOB122378,CAND135538,2026-02-23,0.0,0.7,1.0,0.7,0.48,0,已查看
APP757593,JOB142700,CAND573075,2026-02-14,0.0,0.1,1.0,1.0,0.42,0,待处理
APP134095,JOB152976,CAND585589,2026-02-15,0.0,0.1,0.2,0.1,0.08,0,待处理
APP841705,JOB278523,CAND911600,2026-02-13,0.0,0.7,1.0,0.7,0.48,0,已查看
APP637051,JOB291374,CAND296490,2026-02-11,0.75,0.1,1.0,1.0,0.72,1,已录用
APP460788,JOB328182,CAND137100,2026-02-18,0.0,0.1,1.0,1.0,0.42,0,已录用
APP473269,JOB804179,CAND876327,2026-03-01,0.0,1.0,1.0,0.7,0.54,0,已拒绝
APP633256,JOB836439,CAND706376,2026-02-08,0.0,0.1,1.0,1.0,0.42,0,已拒绝
APP246672,JOB348855,CAND666521,2026-03-02,0.0,0.1,0.2,0.1,0.08,0,已拒绝
APP612747,JOB578249,CAND480483,2026-02-11,0.0,0.4,1.0,1.0,0.48,0,待处理
APP939193,JOB895217,CAND401378,2026-02-14,0.0,1.0,1.0,1.0,0.6,1,待处理
APP101455,JOB214478,CAND269887,2026-02-19,0.0,0.4,1.0,0.4,0.36,0,面试中
APP355524,JOB518462,CAND832630,2026-02-06,0.0,0.4,1.0,0.7,0.42,0,面试中
APP705531,JOB607578,CAND501153,2026-02-19,0.0,0.7,0.2,0.7,0.32,0,已查看
APP186171,JOB190477,CAND660648,2026-02-15,0.0,0.7,0.6,0.4,0.34,0,已录用
APP672083,JOB693472,CAND183740,2026-02-25,0.0,1.0,0.2,1.0,0.44,0,待处理
APP658633,JOB371661,CAND688037,2026-02-17,0.0,0.1,1.0,1.0,0.42,0,待处理
APP302684,JOB656615,CAND234501,2026-03-04,0.0,0.7,1.0,1.0,0.54,0,面试中
APP222360,JOB600773,CAND567080,2026-02-19,0.0,0.1,1.0,0.1,0.24,0,面试中
APP863632,JOB112000,CAND258976,2026-02-18,0.0,0.7,1.0,1.0,0.54,0,已拒绝
APP920205,JOB209619,CAND613035,2026-02-04,0.0,1.0,1.0,0.7,0.54,0,待处理
APP999838,JOB357671,CAND245334,2026-02-16,0.0,1.0,1.0,0.1,0.42,0,已查看
APP724541,JOB161733,CAND529498,2026-03-04,0.0,1.0,0.2,0.7,0.38,0,已查看
APP781126,JOB428864,CAND603564,2026-02-08,0.5,1.0,1.0,0.7,0.74,1,已录用
APP899816,JOB769399,CAND186688,2026-02-28,0.0,1.0,1.0,0.7,0.54,0,面试中
APP890668,JOB949593,CAND967444,2026-03-04,0.0,0.7,1.0,0.7,0.48,0,面试中
APP577718,JOB809527,CAND336398,2026-02-15,0.0,1.0,0.6,1.0,0.52,0,面试中
APP463629,JOB837244,CAND776996,2026-02-05,0.0,0.1,0.2,0.1,0.08,0,已查看
APP385390,JOB777926,CAND614606,2026-02-07,0.0,0.1,1.0,0.1,0.24,0,待处理
APP843357,JOB551443,CAND264963,2026-02-19,1.0,0.1,1.0,1.0,0.82,1,已录用
APP838819,JOB359870,CAND749812,2026-03-04,0.5,0.7,0.6,1.0,0.66,1,已查看
APP183591,JOB630172,CAND569308,2026-02-28,0.667,1.0,1.0,0.1,0.687,1,已录用
APP554183,JOB239046,CAND502123,2026-03-02,0.0,1.0,0.2,1.0,0.44,0,面试中
APP965934,JOB659133,CAND695359,2026-02-27,0.0,0.1,0.2,0.1,0.08,0,已查看
APP952646,JOB857102,CAND661700,2026-03-02,0.0,0.1,1.0,0.4,0.3,0,面试中
APP865973,JOB718520,CAND184222,2026-02-13,0.4,1.0,1.0,0.7,0.7,1,已录用
APP548134,JOB790416,CAND446891,2026-02-06,0.0,0.1,1.0,0.1,0.24,0,待处理
APP313776,JOB493044,CAND678918,2026-02-24,0.0,0.1,1.0,0.4,0.3,0,待处理
APP112175,JOB737441,CAND626610,2026-02-07,0.0,0.4,1.0,1.0,0.48,0,待处理
APP882142,JOB220687,CAND876327,2026-02-20,0.0,0.4,0.6,1.0,0.4,0,已查看
APP149409,JOB948802,CAND712064,2026-02-07,0.0,0.1,0.6,0.1,0.16,0,已录用
APP303705,JOB956263,CAND921848,2026-03-01,0.0,0.1,1.0,1.0,0.42,0,已查看
APP859070,JOB216971,CAND921600,2026-02-12,0.0,0.4,0.6,0.1,0.22,0,待处理
APP315996,JOB455505,CAND789976,2026-02-15,0.0,1.0,0.2,1.0,0.44,0,面试中
APP769078,JOB736108,CAND416595,2026-02-25,0.0,0.4,1.0,1.0,0.48,0,已录用
APP946462,JOB803197,CAND901977,2026-02-13,0.0,0.7,0.2,1.0,0.38,0,已查看
APP606918,JOB966318,CAND339913,2026-02-26,0.0,0.7,0.6,0.7,0.4,0,已查看
APP517946,JOB750447,CAND189963,2026-02-26,0.0,0.7,0.6,1.0,0.46,0,已查看
APP988072,JOB953146,CAND997472,2026-02-04,0.0,1.0,1.0,0.4,0.48,0,已拒绝
APP711053,JOB604787,CAND376082,2026-02-24,0.0,0.1,0.2,1.0,0.26,0,待处理
APP688750,JOB685661,CAND177902,2026-02-27,0.0,0.1,1.0,1.0,0.42,0,已录用
APP544840,JOB131382,CAND725557,2026-02-09,0.0,0.1,0.6,0.1,0.16,0,面试中
APP547818,JOB652021,CAND125298,2026-02-06,0.0,0.1,1.0,1.0,0.42,0,已查看
APP411105,JOB420305,CAND918611,2026-02-07,0.0,0.1,1.0,0.1,0.24,0,待处理
APP212031,JOB310026,CAND217764,2026-02-26,0.0,0.7,0.6,0.7,0.4,0,已查看
APP274932,JOB974244,CAND750364,2026-03-03,0.0,0.7,1.0,1.0,0.54,0,面试中
APP638418,JOB911767,CAND989643,2026-02-27,0.0,1.0,1.0,0.7,0.54,0,已录用
APP448767,JOB503604,CAND107995,2026-02-28,0.0,1.0,1.0,0.7,0.54,0,面试中
APP994547,JOB697703,CAND337263,2026-02-07,0.0,0.4,0.6,1.0,0.4,0,已拒绝
APP493898,JOB195615,CAND820673,2026-02-15,0.0,0.1,0.6,0.1,0.16,0,已录用
APP868893,JOB214752,CAND217633,2026-02-25,0.0,0.7,0.2,1.0,0.38,0,已查看
APP247383,JOB131794,CAND671908,2026-02-26,0.0,0.1,0.2,1.0,0.26,0,待处理
APP804520,JOB594871,CAND392243,2026-02-10,0.0,0.7,0.2,1.0,0.38,0,已查看
APP693199,JOB549832,CAND585052,2026-03-03,0.0,0.1,0.6,0.4,0.22,0,已录用
APP813142,JOB978323,CAND747021,2026-02-11,0.0,0.4,1.0,1.0,0.48,0,面试中
APP308678,JOB928394,CAND588734,2026-02-15,0.0,0.4,1.0,1.0,0.48,0,已查看
APP785650,JOB501455,CAND381862,2026-02-26,0.2,0.4,1.0,1.0,0.56,0,已查看
APP398702,JOB138712,CAND523250,2026-02-09,0.0,0.7,0.6,1.0,0.46,0,已拒绝
APP325819,JOB737492,CAND860378,2026-02-24,0.0,0.1,1.0,1.0,0.42,0,已查看
APP895359,JOB249018,CAND861627,2026-02-21,0.0,0.4,1.0,0.4,0.36,0,已查看
APP135452,JOB360849,CAND991002,2026-02-20,0.0,0.7,1.0,0.1,0.36,0,已录用
APP709010,JOB313741,CAND563360,2026-02-10,0.0,0.1,1.0,0.7,0.36,0,已拒绝
APP868399,JOB214928,CAND333564,2026-02-14,0.0,0.1,1.0,0.1,0.24,0,已拒绝
APP884605,JOB518462,CAND908156,2026-03-06,0.667,0.7,1.0,0.4,0.687,1,已查看
APP930978,JOB955775,CAND396092,2026-02-28,0.0,0.1,1.0,0.1,0.24,0,已拒绝
APP929732,JOB302511,CAND204136,2026-02-04,0.0,0.4,1.0,0.4,0.36,0,已录用
APP627871,JOB677271,CAND668136,2026-02-25,0.0,0.1,1.0,1.0,0.42,0,待处理
APP242129,JOB601424,CAND217959,2026-03-03,0.0,1.0,1.0,0.7,0.54,0,待处理
APP219596,JOB386228,CAND267781,2026-02-15,0.25,0.7,1.0,0.7,0.58,0,已录用
APP700545,JOB475617,CAND498293,2026-02-05,0.0,1.0,1.0,1.0,0.6,1,待处理
APP965391,JOB214478,CAND397350,2026-03-04,0.0,0.7,1.0,0.4,0.42,0,已拒绝
APP918239,JOB740051,CAND522032,2026-02-11,0.167,0.7,0.6,1.0,0.527,0,面试中
APP918053,JOB473730,CAND696923,2026-03-02,0.0,0.7,1.0,1.0,0.54,0,面试中
APP538088,JOB346750,CAND113428,2026-02-17,0.0,0.1,0.2,0.1,0.08,0,已录用
APP556536,JOB647608,CAND969671,2026-02-10,0.0,0.1,1.0,0.1,0.24,0,已拒绝
APP639194,JOB826994,CAND628801,2026-02-26,0.0,0.4,0.2,1.0,0.32,0,已查看
APP955166,JOB307212,CAND315487,2026-03-04,0.0,0.7,0.6,1.0,0.46,0,已录用
APP153659,JOB549444,CAND215062,2026-02-13,0.0,0.1,0.2,0.4,0.14,0,已拒绝
APP712128,JOB429731,CAND277916,2026-02-22,0.0,1.0,0.2,0.7,0.38,0,已录用
APP889113,JOB779329,CAND801153,2026-02-04,0.0,0.1,1.0,1.0,0.42,0,已录用
APP569812,JOB726634,CAND707162,2026-03-02,0.0,1.0,1.0,0.4,0.48,0,已查看
APP161269,JOB406940,CAND841423,2026-03-05,0.0,0.1,0.2,0.4,0.14,0,已查看
APP162252,JOB702817,CAND729649,2026-03-03,0.0,0.4,1.0,1.0,0.48,0,待处理
APP160476,JOB901123,CAND918379,2026-03-06,0.0,1.0,1.0,1.0,0.6,1,已查看
APP433928,JOB844226,CAND261715,2026-02-23,0.0,0.1,1.0,1.0,0.42,0,已拒绝
APP203941,JOB267087,CAND609964,2026-02-21,0.0,0.7,0.2,1.0,0.38,0,已查看
APP814976,JOB806048,CAND601341,2026-02-19,0.0,0.4,0.2,1.0,0.32,0,已录用
APP889323,JOB194530,CAND500158,2026-02-27,0.0,0.7,0.2,1.0,0.38,0,待处理
APP161859,JOB719590,CAND450531,2026-02-06,0.0,0.7,1.0,1.0,0.54,0,待处理
APP801084,JOB650149,CAND803592,2026-02-18,0.0,1.0,0.2,1.0,0.44,0,已查看
APP873984,JOB859722,CAND237380,2026-02-17,0.0,0.7,0.2,0.1,0.2,0,待处理
APP703136,JOB703727,CAND764485,2026-02-07,0.0,1.0,1.0,1.0,0.6,1,面试中
APP402904,JOB769655,CAND607085,2026-02-10,0.4,0.4,0.2,1.0,0.48,0,已拒绝
APP326194,JOB658424,CAND672111,2026-03-01,0.333,0.1,0.6,0.1,0.293,0,待处理
APP583476,JOB765615,CAND227163,2026-02-15,0.0,0.7,1.0,0.4,0.42,0,已查看
APP822070,JOB634724,CAND995904,2026-03-05,0.667,0.1,1.0,1.0,0.687,1,已录用
APP488855,JOB416693,CAND916580,2026-02-08,0.0,0.1,1.0,0.4,0.3,0,已录用
APP691356,JOB667143,CAND688464,2026-02-05,0.0,0.1,1.0,0.1,0.24,0,待处理
APP190129,JOB843111,CAND283368,2026-02-07,0.0,0.1,1.0,1.0,0.42,0,已查看
APP647369,JOB540156,CAND763053,2026-02-21,0.333,0.1,0.2,0.7,0.333,0,已拒绝
APP168499,JOB564614,CAND392243,2026-02-09,0.0,0.7,1.0,1.0,0.54,0,已录用
APP896945,JOB420182,CAND235605,2026-03-04,0.0,0.7,1.0,1.0,0.54,0,面试中
APP433675,JOB464571,CAND209582,2026-02-07,0.0,0.1,1.0,1.0,0.42,0,已查看
APP913952,JOB549350,CAND742656,2026-02-27,0.667,0.1,1.0,1.0,0.687,1,待处理
APP697860,JOB171425,CAND641076,2026-02-13,0.0,0.1,1.0,1.0,0.42,0,面试中
APP846046,JOB186847,CAND518924,2026-02-08,0.0,0.1,1.0,1.0,0.42,0,已查看
APP468707,JOB433547,CAND971729,2026-02-17,0.0,0.1,1.0,1.0,0.42,0,已拒绝
APP784836,JOB985194,CAND695359,2026-02-09,0.5,0.1,0.2,0.7,0.4,0,待处理
APP580704,JOB187936,CAND999818,2026-02-19,0.167,1.0,1.0,1.0,0.667,1,待处理
APP765064,JOB196928,CAND671409,2026-02-09,0.0,0.1,1.0,1.0,0.42,0,面试中
APP372197,JOB444867,CAND448821,2026-02-04,0.0,0.1,0.2,1.0,0.26,0,已拒绝
APP770346,JOB893591,CAND481149,2026-02-11,0.0,0.4,1.0,1.0,0.48,0,已拒绝
APP638342,JOB343745,CAND611599,2026-02-28,0.0,0.4,1.0,1.0,0.48,0,面试中
APP781444,JOB369950,CAND657392,2026-02-05,0.0,0.4,1.0,1.0,0.48,0,面试中
APP268329,JOB214856,CAND565303,2026-02-27,0.167,0.1,0.2,0.1,0.147,0,已查看
APP559564,JOB495328,CAND315484,2026-02-23,0.0,0.1,0.2,1.0,0.26,0,已查看
APP276139,JOB126659,CAND310695,2026-02-14,0.0,0.1,0.2,1.0,0.26,0,已查看
APP355932,JOB782268,CAND540022,2026-02-21,0.0,0.1,0.6,0.4,0.22,0,已拒绝
APP153487,JOB323617,CAND812491,2026-02-21,0.0,0.7,1.0,1.0,0.54,0,待处理
APP159073,JOB658314,CAND200474,2026-02-12,0.0,0.4,1.0,1.0,0.48,0,面试中
APP146123,JOB816308,CAND549140,2026-02-28,0.0,0.7,1.0,0.7,0.48,0,待处理
APP210685,JOB920289,CAND300883,2026-02-22,0.0,0.7,1.0,0.1,0.36,0,已查看
APP111909,JOB639726,CAND764573,2026-02-18,0.0,0.4,1.0,1.0,0.48,0,面试中
APP179654,JOB792942,CAND346719,2026-02-23,0.0,0.1,1.0,0.1,0.24,0,面试中
APP235100,JOB170930,CAND518097,2026-03-04,0.0,1.0,1.0,1.0,0.6,1,已拒绝
APP658930,JOB197489,CAND872418,2026-02-21,0.0,0.4,1.0,1.0,0.48,0,已拒绝
APP722870,JOB451402,CAND564554,2026-02-22,0.0,0.1,1.0,1.0,0.42,0,已录用
APP264275,JOB974733,CAND840062,2026-02-16,0.0,0.7,1.0,0.7,0.48,0,面试中
APP149168,JOB968092,CAND228190,2026-02-17,0.2,0.1,1.0,1.0,0.5,0,已查看
APP522328,JOB536753,CAND540883,2026-02-22,0.25,0.4,1.0,1.0,0.58,0,已查看
APP335376,JOB185372,CAND326279,2026-03-03,0.0,0.7,1.0,1.0,0.54,0,面试中
APP415120,JOB629202,CAND776996,2026-02-12,0.0,0.1,0.2,0.1,0.08,0,已拒绝
APP923273,JOB246093,CAND911231,2026-02-24,0.0,0.4,0.2,1.0,0.32,0,已录用
APP484969,JOB367877,CAND260886,2026-02-12,0.4,0.1,1.0,0.1,0.4,0,待处理
APP487630,JOB985994,CAND288839,2026-02-05,0.333,1.0,0.2,1.0,0.573,0,已查看
APP350471,JOB390933,CAND898282,2026-02-14,0.0,0.7,1.0,0.7,0.48,0,面试中
APP350573,JOB899594,CAND620263,2026-02-15,0.0,0.1,1.0,1.0,0.42,0,已录用
APP337237,JOB396894,CAND376082,2026-02-10,0.0,0.7,1.0,1.0,0.54,0,已拒绝
APP216468,JOB156405,CAND394691,2026-03-04,0.0,0.1,0.6,0.1,0.16,0,已录用
APP891910,JOB871869,CAND700341,2026-02-25,0.167,0.1,1.0,0.4,0.367,0,面试中
APP147297,JOB154734,CAND288464,2026-02-21,0.4,0.7,0.6,0.4,0.5,0,面试中
APP150269,JOB155739,CAND421307,2026-02-19,0.0,0.4,1.0,1.0,0.48,0,已录用
APP584132,JOB819427,CAND299768,2026-02-26,0.0,0.7,1.0,0.7,0.48,0,已录用
APP229682,JOB111125,CAND184950,2026-02-07,0.0,0.4,1.0,1.0,0.48,0,已查看
APP234080,JOB266322,CAND870594,2026-03-01,0.0,1.0,1.0,0.4,0.48,0,面试中
APP371578,JOB517982,CAND203747,2026-03-04,0.0,1.0,1.0,0.7,0.54,0,已拒绝
APP685029,JOB506531,CAND299760,2026-03-01,0.5,1.0,1.0,0.7,0.74,1,已查看
APP118865,JOB412962,CAND203569,2026-02-07,0.0,1.0,0.2,1.0,0.44,0,已查看
APP517875,JOB719117,CAND830067,2026-02-15,0.0,0.1,1.0,0.1,0.24,0,面试中
APP537282,JOB203420,CAND397563,2026-02-04,0.0,0.7,0.6,1.0,0.46,0,面试中
APP605795,JOB568742,CAND493043,2026-02-04,0.0,0.1,0.2,1.0,0.26,0,面试中
APP806788,JOB828483,CAND461857,2026-03-05,0.0,0.7,1.0,1.0,0.54,0,已拒绝
APP776392,JOB345587,CAND749040,2026-02-07,0.0,1.0,1.0,1.0,0.6,1,待处理
APP908790,JOB255733,CAND774653,2026-02-26,0.2,0.4,1.0,1.0,0.56,0,待处理
APP856179,JOB131608,CAND120549,2026-02-06,0.0,1.0,1.0,1.0,0.6,1,待处理
APP548506,JOB372271,CAND529533,2026-02-27,0.0,0.1,0.2,1.0,0.26,0,已查看
APP426643,JOB133437,CAND258784,2026-02-13,0.4,0.7,0.2,1.0,0.54,0,待处理
APP508323,JOB457371,CAND746872,2026-02-19,0.0,0.1,1.0,1.0,0.42,0,待处理
APP760300,JOB810091,CAND130361,2026-02-26,0.0,0.1,0.2,1.0,0.26,0,已查看
APP812433,JOB794519,CAND333564,2026-02-15,0.0,0.1,1.0,0.7,0.36,0,已拒绝
APP928000,JOB111807,CAND735165,2026-02-20,0.0,0.4,1.0,1.0,0.48,0,已拒绝
APP786994,JOB432244,CAND422417,2026-02-12,0.167,0.4,1.0,1.0,0.547,0,已录用
APP893983,JOB229858,CAND405258,2026-02-13,0.0,0.1,0.2,1.0,0.26,0,面试中
APP678410,JOB354882,CAND988189,2026-03-02,0.333,0.7,1.0,1.0,0.673,1,已拒绝
APP467035,JOB705604,CAND662659,2026-02-12,0.0,1.0,1.0,1.0,0.6,1,已查看
APP326373,JOB690344,CAND854427,2026-02-16,0.6,0.7,1.0,0.4,0.66,1,待处理
APP519338,JOB568739,CAND611599,2026-02-04,0.0,1.0,1.0,1.0,0.6,1,面试中
APP555888,JOB734052,CAND133341,2026-02-08,0.0,0.1,0.2,1.0,0.26,0,已录用
APP512736,JOB861084,CAND205541,2026-03-01,0.0,0.4,1.0,1.0,0.48,0,已拒绝
APP248473,JOB602732,CAND613035,2026-02-22,0.0,1.0,0.6,1.0,0.52,0,面试中
